streets,zipcodes
8 avenue,11355.0
65 street,11204.0
13 avenue,11219.0
14 avenue,11230.0
60 street,10032.0
18 avenue,11357.0
ave p,
bay pkwy,
51 street,11234.0
50 street,10039.0
39 street,10470.0
37 street,11203.0
ft hamilton parkway,11219.0
columbia street,11231.0
clinton street,11231.0
hicks street,10469.0
3 street,11234.0
court street,11231.0
trinity pl,10006.0
liberty street,10006.0
church street,10007.0
chambers street,10007.0
madison street,10002.0
catherine street,10038.0
market street,10002.0
surf ave,11224.0
neptune ave,11224.0
coney island ave,11223.0
ave z,
coney island avenue,11223.0
avenue j,11230.0
ave n,
ave m,
ocean ave,11235.0
bedford ave,11211.0
nostrand ave,11225.0
32nd ave,
caton ave,11226.0
ditmas avenue,11218.0
cortelyou road,11218.0
church ave,11218.0
ocean avenue,11235.0
flatbush ave,11234.0
farragut road,11203.0
rogers ave,11225.0
flatbush avenue,11234.0
56th rd,
linden blvd,
ashland place,11217.0
prospect park west,11215.0
classon ave,11205.0
brooklyn ave,11225.0
lafayette ave,10473.0
myrtle ave,11385.0
montrose ave,11206.0
metropolitan ave,10462.0
meserole street,11206.0
west broadway,10012.0
hudson street,10014.0
cortlandt alley,
canal street,10013.0
avenue of the americas,10018.0
grand street,11249.0
broome street,10013.0
spring street,10012.0
avenue of americas,10105.0
e 4th st,
bowery,10012.0
chrystie street,10002.0
east 14 street,
2 avenue,11369.0
1 avenue,11416.0
lexington avenue,10035.0
pitt street,10002.0
avenue b,10009.0
11 avenue,11420.0
10 avenue,10019.0
9 avenue,11368.0
west 29 street,
madison avenue,10029.0
west 30 street,
west 34 street,
columbus avenue,10025.0
west 39 street,
central park west,10023.0
amsterdam avenue,10032.0
avenue c,10009.0
commercial st,11222.0
ash st,11222.0
driggs ave,11222.0
greenpoint ave,11101.0
york avenue,11210.0
west end avenue,10023.0
amsterdam ave,10032.0
1 ave,11416.0
2 ave,11369.0
manhattan avenue,10026.0
west 135 street,
avenue n,11230.0
avenue m,11230.0
avenue u,11223.0
avenue d,10009.0
clarendon road,11226.0
albany avenue,11213.0
albany ave,11213.0
glenwood road,11236.0
flatlands avenue,11236.0
mac dougal street,10012.0
howard avenue,11233.0
hegeman avenue,11207.0
vermont place,11385.0
73 place,11379.0
pitkin ave,11208.0
liberty ave,11419.0
jamaica ave,11435.0
south conduit ave,11430.0
111 ave,11420.0
brinkerhoff ave,11435.0
kew gardens road,11415.0
van wyck expressway,11435.0
archer ave,11435.0
lakewood ave,11435.0
waltham street,11435.0
101 ave,11416.0
150th st,
central ave,11221.0
cross island pkwy sr,
cross island parkway,11426.0
hungry harbor rd,
maurice ave,11378.0
39th st,
48th st,
east 135 street,
morris avenue,10453.0
audubon ave,10033.0
undercliff avenue,10453.0
sheridan avenue,10456.0
sheridana avenue,
wadsworth avenue,10040.0
dyckman street,10034.0
henry hudson pkwy,
longwood avenue,10459.0
crotona avenue,10457.0
park ave,10016.0
paulding avenue,10462.0
hutchinson river pkwy,
boston road,10460.0
maryland rd,
jewel ave,11367.0
union street,11213.0
sanford ave,11358.0
roosevelt ave,11372.0
east 177 street,
lafayette avenue,10473.0
underhill ave,11238.0
homelawn street,
hollis court blvd,
35 ave,11361.0
56 ave,11378.0
26 ave,11204.0
marathon pkwy,
fingerboard road,10304.0
west 155 st,
manhattan west 155 st,
flushing ave,11205.0
glen street,10314.0
grand ave,10468.0
nostrand avenue,11225.0
louis nine  boulevard,
columbus ave,10025.0
west gun hill road,10467.0
colonial road,11220.0
115 road,11434.0
vernon blvd,
springfield blvd,
francis lewis blvd,
atlantic ave,11213.0
woodhaven blvd,
34th ave,
gowanus expressway,
braddock ave,11426.0
seagrit blvd,
11th st,
rockaway blvd,
merrick blvd,
oriental blvd,
flatlands ave,11236.0
edward l grant highway,10452.0
park avenue south,10016.0
130 pl,11420.0
manhattan  broadway,
east houston street,10002.0
lenox ave,10037.0
allen street,10002.0
east 18 street,10003.0
norfolk street,10002.0
meeker ave,11222.0
kings highway,11234.0
kings highway service,
rockaway avenue,11233.0
east 204 street,
grand concourse_main,
grand concourse_serv,
cross bronx expressway,10465.0
e 174 st,
cross bx expwy ser rd,
e 176 st,
fairmont pl,
throgs neck expressway,10465.0
throgs neck expwy ser rd,
e 177 st,
bronx river parkway,
courtladt avenue,
east 233 street,
east mosholu parkway,10458.0
exterior street,10463.0
grand concourse,10451.0
harlem river driveway,
henry hudson parkway,10463.0
hutchinson river parkway,10461.0
moshoulu parkway,
provost avenue,10466.0
sedgwick avenue,10453.0
bqe,11103.0
st. anns avenue,
university heights bridge approach,
110 avenue,11435.0
31 st,11420.0
richmond terrace,10301.0
79 street transverse,
86 street transverse,
97 street transverse,
st. nicholas avenue,
bronx river avenue,10472.0
donnellon square,
dr. m l king jr. boulevard,
morningside drive,10025.0
mt morris park west,10027.0
riverside drive,10031.0
shore road,11209.0
washington bridge,
west 167 street,
west 178 street,
west 179 street,
west 180 street,
west 181 street,
west 116 street,
west 145 street,
west farms road,10460.0
21 st,11415.0
94 avenue,11435.0
bates road,
212 street,11427.0
bay ridge parkway,11204.0
clearview expressway,11364.0
clearview expressway sr,11361.0
dr. m l king jr. expressway exit 11 sb,
cross island parkway sr,
cropsey avenue,11214.0
ft. hamilton parkway,
grand central parkway,11435.0
horace harding expressway sr,
louis nine boulevard,10459.0
midland parkway,11432.0
milford drive,
north boundary road,
north conduit avenue,11434.0
134 street,11419.0
rockland avenue,10314.0
south avenue,10303.0
south conduit avenue,11430.0
st. marys street,
tinton street,
todt hill road,10314.0
van wyck boulevard east,
van wyck boulevard west,
west shore expressway,
winchester boulevard,11428.0
1st avenue,
12 avenue,10027.0
65 street transverse,
centre street,10013.0
chatham square,10038.0
cherry street,10002.0
columbus circle,10019.0
fdr drive,10075.0
f d r drive,
forsyth street,10002.0
joe dimaggio highway,10282.0
lafayette street,10013.0
honeywell street,
layafette street,
park row,10007.0
st. james place,
varick street,10014.0
west 56 street,
walker street,11239.0
wanamaker place,
west street,11223.0
woodside avenue,11377.0
terrace drive,10000.0
103 street,11417.0
atlantic avenue sr,
belt parkway,
borinquen place,11211.0
driggs avenue,11222.0
cypress hills street,11385.0
dekalb avenue,10467.0
eastern parkway,11216.0
empire boulevard,11213.0
euclid avenue,11208.0
gates avenue,11216.0
jackie robinson parkway,
lewis avenue,11221.0
meeker avenue,11222.0
pulaski bridge,
queens boulevard sr,
ralph avenue,11234.0
rockaway parkway,11236.0
rodney street,11211.0
stewart avenue,11237.0
utica avenue,11203.0
yellowstone boulevard,11375.0
dupont street,11222.0
parkside avenue,11226.0
prospect expressway,
ocean parkway,11235.0
shore parkway,11214.0
emmons avenue,11235.0
east drive,10000.0
dyre avenue,10466.0
goethals bridge approach,
kissena boulevard,11355.0
lydig avenue,10462.0
malcolm x boulevard,11221.0
putnam avenue,11221.0
sanford avenue,11358.0
tompkins avenue,11206.0
center drive,11357.0
marcus garvey boulevard,11221.0
9 street,11374.0
avenue l,11236.0
east 36 street,
holland tunnel,10013.0
bruckner expressway,10459.0
ed koch queensboro bridge,10017.0
major deegan expressway,
169 street,10452.0
avenue h,11230.0
avenue z,11235.0
long island expressway,
mcdonald avenue,11218.0
snyder avenue,11203.0
smith street,11231.0
van wyck expressway exit 11 sb,
23rd avenue,
dutch kills street,
clarkson avenue,11203.0
franklin avenue,10456.0
vanderbilt avenue,11238.0
quincy street,11238.0
winthrop street,11203.0
kingston avenue,11213.0
bedford avenue,11211.0
ft washington avenue,10033.0
st nicholas avenue,10026.0
st nicholas place,10032.0
delafield avenue,10310.0
martling avenue,
jerome avenue sr,
bay court,11235.0
shore boulevard,11235.0
lenox road,11226.0
morgan avenue,11211.0
clay street,11222.0
