date,zipcode,time_block,traffic_volume,avg_travel_time
2012-01-21,11209,5,53.25,365.5
2012-01-21,11209,20,0.0,365.5
2012-01-21,11209,22,0.0,365.5
2012-01-21,11223,16,134.0,244.0
2012-01-21,11223,21,98.0,244.0
2012-01-22,11223,3,23.0,453.0
2012-01-22,11223,6,26.0,453.0
2012-01-23,11103,3,172.5,580.0
2012-01-23,11103,4,150.5,580.0
2012-01-23,11103,16,336.5,580.0
2012-01-23,11103,18,325.0,580.0
2012-01-23,11105,1,162.0,759.0
2012-01-23,11105,4,166.0,759.0
2012-01-23,11105,9,462.0,759.0
2012-01-23,11105,14,517.0,759.0
2012-01-24,10456,3,72.0,605.0
2012-01-24,10456,19,287.0,605.0
2012-01-24,10456,20,225.0,605.0
2012-01-24,10456,21,186.0,605.0
2012-01-24,11101,0,96.0,608.0
2012-01-24,11101,2,52.0,608.0
2012-01-24,11101,5,316.0,608.0
2012-01-24,11101,7,683.0,608.0
2012-01-24,11101,10,466.0,608.0
2012-01-24,11101,11,462.0,608.0
2012-01-25,11354,4,263.5,583.0
2012-01-25,11354,5,509.0,583.0
2012-01-25,11354,8,1161.5,583.0
2012-01-25,11354,12,986.0,583.0
2012-01-25,11354,21,547.0,583.0
2012-01-25,11354,23,484.5,583.0
2012-01-25,11369,2,13.5,362.0
2012-01-25,11369,5,24.0,362.0
2012-01-25,11369,7,170.0,362.0
2012-01-25,11369,8,164.0,362.0
2012-01-25,11369,13,144.0,362.0
2012-01-25,11369,20,119.0,362.0
2012-01-25,11369,23,44.0,362.0
2012-01-25,11372,8,435.25,162.0
2012-01-25,11372,10,284.5,162.0
2012-01-25,11372,12,317.5,162.0
2012-01-25,11385,12,269.0,294.0
2012-01-25,11385,13,243.5,294.0
2012-01-25,11385,14,283.0,294.0
2012-01-25,11385,20,169.5,294.0
2012-01-25,11385,22,110.0,294.0
2012-01-26,11373,12,113.0,448.0
2012-01-26,11373,17,127.0,448.0
2012-01-27,11233,13,0.0,305.0
2012-01-27,11368,4,35.0,498.0
2012-01-27,11368,6,106.0,498.0
2012-01-27,11368,8,339.0,498.0
2012-01-27,11368,11,0.0,498.0
2012-01-27,11368,17,0.0,498.0
2012-01-27,11368,21,0.0,498.0
2012-01-27,11385,0,48.5,170.0
2012-01-27,11385,4,32.5,170.0
2012-01-27,11385,6,169.5,170.0
2012-01-27,11385,10,163.0,170.0
2012-01-27,11385,14,268.0,170.0
2012-01-27,11385,16,317.0,170.0
2012-01-27,11385,18,295.0,170.0
2012-01-27,11385,22,149.0,170.0
2012-01-30,10452,0,100.9,332.66666666666663
2012-01-30,10452,2,58.4,332.66666666666663
2012-01-30,10452,7,310.8,332.66666666666663
2012-01-30,10452,11,264.6,332.66666666666663
2012-01-30,10452,15,375.3,332.66666666666663
